"shape","items","wbar","concordance","quadrature_nodes","curve"
"normal",6,0.504871998327808,0.751879670873737,800,"design"
"normal",10,0.63315099453648,0.796170628369221,800,"design"
"normal",16,0.735614901303946,0.832577481333691,800,"design"
"normal",25,0.813630478301898,0.862686231996585,800,"design"
"normal",40,0.875058323852633,0.889563427618422,800,"design"
"normal",60,0.913199947915955,0.908978317035758,800,"design"
"normal",90,0.940461983354817,0.925251657054591,800,"design"
"normal",130,0.958035280063112,0.937625276827419,800,"design"
"normal",180,0.969345283912872,0.946931516903378,800,"design"
"bimodal",6,0.509258753048598,0.749541018528228,800,"design"
"bimodal",10,0.637518967451875,0.786546179507993,800,"design"
"bimodal",16,0.739405366087849,0.813304611272415,800,"design"
"bimodal",25,0.816646146588696,0.834098746763908,800,"design"
"bimodal",40,0.877260893500794,0.853881378745177,800,"design"
"bimodal",60,0.914807969044432,0.870517670836202,800,"design"
"bimodal",90,0.94160306340544,0.886914237917669,800,"design"
"bimodal",130,0.958856851428381,0.90126427378298,800,"design"
"bimodal",180,0.969953556392942,0.913254543431163,800,"design"
"skewed",6,0.492435994942376,0.733298566813939,800,"design"
"skewed",10,0.62064489352674,0.775468041932642,800,"design"
"skewed",16,0.724678783673679,0.811185486083274,800,"design"
"skewed",25,0.80487795588431,0.841780957144819,800,"design"
"skewed",40,0.868635137338378,0.870141079175969,800,"design"
"skewed",60,0.908496486373323,0.891356233824288,800,"design"
"skewed",90,0.937117080679511,0.909661852132445,800,"design"
"skewed",130,0.955623579413917,0.92391723222809,800,"design"
"skewed",180,0.967558093213849,0.934833365736147,800,"design"
"heavy-tailed logistic",6,0.501334196541123,0.744669578917577,800,"design"
"heavy-tailed logistic",10,0.629611599174047,0.788584469739613,800,"design"
"heavy-tailed logistic",16,0.732532185833836,0.82519916008965,800,"design"
"heavy-tailed logistic",25,0.811171005474978,0.855884387289655,800,"design"
"heavy-tailed logistic",40,0.873257971146652,0.883597281765157,800,"design"
"heavy-tailed logistic",60,0.911883731225019,0.903797475334581,800,"design"
"heavy-tailed logistic",90,0.939527032248107,0.920836495855818,800,"design"
"heavy-tailed logistic",130,0.957361681577594,0.933850711583659,800,"design"
"heavy-tailed logistic",180,0.968846357340642,0.943667909562168,800,"design"
"bimodal",,0.51,0.749754880347265,800,"matched"
"bimodal",,0.5175,0.751918752508554,800,"matched"
"bimodal",,0.525,0.754082624669843,800,"matched"
"bimodal",,0.5325,0.756246496831133,800,"matched"
"bimodal",,0.54,0.758410368992422,800,"matched"
"bimodal",,0.5475,0.760574241153711,800,"matched"
"bimodal",,0.555,0.762738113315,800,"matched"
"bimodal",,0.5625,0.76490198547629,800,"matched"
"bimodal",,0.57,0.767065857637579,800,"matched"
"bimodal",,0.5775,0.769229729798868,800,"matched"
"bimodal",,0.585,0.771393601960157,800,"matched"
"bimodal",,0.5925,0.773557474121447,800,"matched"
"bimodal",,0.6,0.775721346282736,800,"matched"
"bimodal",,0.6075,0.777885218444025,800,"matched"
"bimodal",,0.615,0.780049090605314,800,"matched"
"bimodal",,0.6225,0.782212962766604,800,"matched"
"bimodal",,0.63,0.784376834927893,800,"matched"
"bimodal",,0.6375,0.786540707089182,800,"matched"
"bimodal",,0.645,0.788510923592055,800,"matched"
"bimodal",,0.6525,0.790480649099286,800,"matched"
"bimodal",,0.66,0.792450374606517,800,"matched"
"bimodal",,0.6675,0.794420100113748,800,"matched"
"bimodal",,0.675,0.796389825620978,800,"matched"
"bimodal",,0.6825,0.798359551128209,800,"matched"
"bimodal",,0.69,0.80032927663544,800,"matched"
"bimodal",,0.6975,0.802299002142671,800,"matched"
"bimodal",,0.705,0.804268727649902,800,"matched"
"bimodal",,0.7125,0.806238453157132,800,"matched"
"bimodal",,0.72,0.808208178664363,800,"matched"
"bimodal",,0.7275,0.810177904171594,800,"matched"
"bimodal",,0.735,0.812147629678825,800,"matched"
"bimodal",,0.7425,0.814137723476209,800,"matched"
"bimodal",,0.75,0.816156812552924,800,"matched"
"bimodal",,0.7575,0.818175901629639,800,"matched"
"bimodal",,0.765,0.820194990706354,800,"matched"
"bimodal",,0.7725,0.822214079783069,800,"matched"
"bimodal",,0.78,0.824233168859784,800,"matched"
"bimodal",,0.7875,0.826252257936499,800,"matched"
"bimodal",,0.795,0.828271347013214,800,"matched"
"bimodal",,0.8025,0.830290436089929,800,"matched"
