"I","shift","rho_bar","ratio","design"
5,0,0.472266770429034,0.694642136927004,"targeted items"
8,0,0.586655884041357,0.771330043726322,"targeted items"
12,0,0.677758411948859,0.82686960662154,"targeted items"
18,0,0.758885615772097,0.873520656600395,"targeted items"
27,0,0.82499253791941,0.909743249006759,"targeted items"
40,0,0.874645194341773,0.936066554261832,"targeted items"
60,0,0.912738366517008,0.955826177469933,"targeted items"
5,1.5,0.360611547776095,0.639381976406644,"mistargeted items (+1.5)"
8,1.5,0.476597526884882,0.721220424540889,"mistargeted items (+1.5)"
12,1.5,0.579882119786663,0.783834436447813,"mistargeted items (+1.5)"
18,1.5,0.674623336384194,0.837209391007032,"mistargeted items (+1.5)"
27,1.5,0.756826971556069,0.880397381005628,"mistargeted items (+1.5)"
40,1.5,0.821822605209615,0.913059815916133,"mistargeted items (+1.5)"
60,1.5,0.873731497167202,0.938506967635396,"mistargeted items (+1.5)"
