"appendix","block","line_in_appendix","end_line_in_appendix","tag","evidence_window","covered"
"A",1,36,39,"A.1","28-47",FALSE
"A",2,41,44,"A.2","33-52",FALSE
"A",3,46,49,"A.3","38-57",FALSE
"A",4,59,62,"A.4","51-70",TRUE
"A",5,64,67,"A.5","56-75",TRUE
"A",6,70,73,"A.6","62-81",FALSE
"A",7,75,77,"","67-85",FALSE
"A",8,79,81,"","71-89",FALSE
"A",9,83,86,"A.7","75-94",FALSE
"A",10,90,93,"A.8","82-101",FALSE
"A",11,98,101,"A.9","90-109",TRUE
"A",12,112,115,"A.10","104-123",TRUE
"A",13,126,129,"A.11","118-137",TRUE
"B",1,6,8,"A.3","1-16",FALSE
"B",2,12,14,"A.7","4-22",FALSE
"B",3,16,18,"A.8","8-26",FALSE
"B",4,27,29,"","19-37",FALSE
"B",5,33,35,"B.2","25-43",FALSE
"B",6,48,50,"","40-58",FALSE
"B",7,54,56,"","46-64",FALSE
"B",8,62,64,"","54-72",FALSE
"B",9,68,70,"","60-78",FALSE
"B",10,77,79,"A.9","69-87",FALSE
"B",11,85,87,"A.10","77-95",FALSE
"B",12,91,93,"","83-101",FALSE
"B",13,105,107,"B.3","97-115",FALSE
"B",14,111,113,"","103-121",FALSE
"B",15,117,119,"B.4","109-127",FALSE
"B",16,123,125,"B.5","115-133",FALSE
"B",17,132,134,"B.6","124-142",FALSE
"B",18,138,140,"B.7","130-148",FALSE
"B",19,151,153,"","143-161",TRUE
"B",20,157,159,"B.8","149-167",TRUE
"B",21,163,165,"B.9","155-173",FALSE
"B",22,170,172,"","162-180",TRUE
"B",23,188,190,"B.10","180-198",FALSE
"B",24,194,196,"","186-204",FALSE
"B",25,200,202,"B.11","192-210",FALSE
"B",26,208,210,"B.12","200-218",FALSE
"B",27,217,219,"B.15","209-227",FALSE
"B",28,230,232,"","222-240",TRUE
"B",29,242,244,"","234-252",TRUE
"B",30,248,250,"B.13","240-258",TRUE
"B",31,260,262,"B.14","252-270",TRUE
"B",32,266,268,"","258-275",FALSE
"C",1,15,17,"","7-25",TRUE
"C",2,27,29,"C.1","19-37",FALSE
"C",3,33,35,"C.2","25-43",FALSE
"C",4,43,45,"C.3","35-53",FALSE
"C",5,49,51,"C.4","41-59",FALSE
"C",6,55,57,"C.5","47-65",FALSE
"C",7,67,69,"C.6","59-77",FALSE
"C",8,77,79,"C.7","69-87",FALSE
"C",9,83,85,"C.8","75-93",FALSE
"C",10,89,91,"C.9","81-99",FALSE
"C",11,105,107,"C.10","97-115",TRUE
"C",12,111,113,"C.11","103-121",TRUE
"C",13,119,121,"C.12","111-129",FALSE
"C",14,129,131,"C.13","121-139",FALSE
"C",15,135,137,"C.14","127-145",FALSE
"C",16,141,143,"C.15","133-151",FALSE
"C",17,147,149,"C.16","139-157",FALSE
"C",18,157,159,"C.17","149-167",FALSE
"C",19,163,165,"C.18","155-173",TRUE
"C",20,169,171,"C.19","161-179",TRUE
"C",21,175,177,"C.20","167-185",TRUE
"C",22,181,183,"C.21","173-191",TRUE
"C",23,191,193,"","183-201",TRUE
"C",24,197,199,"C.22","189-207",TRUE
"C",25,205,207,"C.23","197-215",FALSE
"C",26,211,213,"C.24","203-221",FALSE
"C",27,223,225,"C.25","215-233",FALSE
"C",28,229,231,"C.26","221-239",FALSE
"C",29,235,237,"C.27","227-245",FALSE
"C",30,245,247,"C.28","237-255",FALSE
"D",1,10,12,"A.3","2-20",TRUE
"D",2,22,24,"D.1","14-32",TRUE
"D",3,26,28,"D.2","18-36",TRUE
"D",4,34,36,"D.3","26-44",TRUE
"D",5,42,44,"D.4","34-52",TRUE
"D",6,50,57,"D.5","42-65",TRUE
"D",7,65,67,"D.6","57-75",TRUE
"D",8,75,77,"D.7","67-85",TRUE
"D",9,89,91,"D.8","81-99",TRUE
"D",10,93,95,"","85-103",TRUE
"D",11,103,105,"D.9","95-113",TRUE
"D",12,107,109,"D.10","99-117",TRUE
"D",13,113,115,"D.11","105-123",TRUE
"D",14,131,133,"D.12","123-141",TRUE
"D",15,145,147,"D.13","137-155",TRUE
"D",16,163,165,"D.14","155-173",TRUE
"D",17,167,169,"D.15","159-177",TRUE
"D",18,173,175,"D.16","165-183",FALSE
"E",1,10,12,"A.3","2-20",TRUE
"E",2,14,16,"A.7","6-24",TRUE
"E",3,23,25,"D.3","15-33",FALSE
"E",4,29,31,"","21-39",FALSE
"E",5,35,37,"E.1","27-45",FALSE
"E",6,39,41,"E.2","31-49",FALSE
"E",7,57,59,"B.14","49-67",TRUE
"E",8,61,63,"C.1","53-71",TRUE
"E",9,68,70,"E.3","60-78",TRUE
"E",10,78,80,"E.4","70-88",FALSE
"E",11,82,84,"E.5","74-92",FALSE
"E",12,89,91,"","81-99",FALSE
"E",13,93,95,"","85-103",FALSE
"E",14,97,99,"E.6","89-107",FALSE
"E",15,102,104,"E.7","94-112",FALSE
"E",16,107,109,"E.8","99-117",FALSE
"E",17,111,113,"E.9","103-121",FALSE
"E",18,116,118,"E.10","108-126",FALSE
"E",19,120,122,"E.11","112-130",FALSE
"E",20,125,127,"E.12","117-135",FALSE
"E",21,134,136,"E.13","126-144",FALSE
"E",22,138,140,"E.14","130-148",FALSE
"E",23,150,152,"","142-160",TRUE
"E",24,154,156,"","146-164",TRUE
"E",25,162,164,"C.24","154-172",TRUE
"E",26,172,174,"E.15","164-182",FALSE
"E",27,178,180,"E.16","170-188",FALSE
"E",28,186,188,"E.17","178-196",TRUE
"E",29,204,206,"","196-214",FALSE
"E",30,248,250,"","240-258",TRUE
"E",31,260,262,"","252-270",TRUE
"E",32,264,266,"","256-274",FALSE
"F",1,16,19,"F.1","8-27",TRUE
"F",2,21,24,"F.2","13-32",TRUE
"F",3,39,42,"F.3","31-50",FALSE
